TMDb ID,IMDb ID,Name on IMDb,Birth Name,Spouse Name,Spouse IMDb
333,nm0005261,Brittany Murphy,Brittany Anne Bertolotti,Simon Monjack,/name/nm0598168?ref_=nmbio_sp_1
335,nm0428055,Evan Jones, Not Found , Not Found ,Not Found
339,nm0788335,Michael Shannon,Michael Corbett Shannon,Michael Shannon,Not Found
347,nm0004976,Brian Grazer,Brian Thomas Grazer,Veronica A Smiley,Not Found
348,nm0740267,Tom Rooker, Not Found , Not Found ,Not Found
349,nm0001279,William Goldman, Not Found ,Ilene Jones,Not Found
350,nm0001277,Scott Glenn,Theodore Scott Glenn,Carol Schwartz,Not Found
356,nm0001473,Laura Linney,Laura Leggett Linney,Marc Schauer,/name/nm5098106?ref_=nmbio_sp_1
369,nm0005726,Jack N. Green,John Newton Green,Jack N. Green,/name/nm5098106?ref_=nmbio_sp_1
370,nm0120317,Henry Bumstead,Lloyd Henry Bumstead,Lena Bumstead,Not Found
374,nm0851910,Jack G. Taylor Jr., Not Found , Not Found ,Not Found
375,nm0571650,Charles McKeown, Not Found , Not Found ,Not Found
376,nm0039544,Bub Asman, Not Found , Not Found ,Not Found
378,nm0586969,Arnon Milchan, Not Found ,Amanda Coetzer,/name/nm1821048?ref_=nmbio_sp_1
379,nm0000596,Jonathan Pryce,John Price,Kate Fahy,/name/nm0265189?ref_=nmbio_sp_1
380,nm0364637,Donald Harris, Not Found , Not Found ,Not Found
383,nm0000134,Robert De Niro,Robert Anthony De Niro Jr.,Grace Hightower,/name/nm2984460?ref_=nmbio_sp_1
384,nm0001589,Michael Palin,Michael Edward Palin,Helen Gibbins,Not Found
386,nm0185088,Joel Cox,Joel Edward Cox,Joel Cox,Not Found
388,nm0891092,Peter Vaughan,Peter Ewart Ohm,Lillias Walker,/name/nm0907974?ref_=nmbio_sp_1
390,nm0000980,Jim Broadbent,James Broadbent,Anastasia Lewis,Not Found
391,nm0482961,Irene Lamb, Not Found , Not Found ,Not Found
393,nm0308841,Norman Garwood, Not Found , Not Found ,Not Found
397,nm0004398,Rodney Glenn, Not Found , Not Found ,Not Found
400,nm0603916,Darío Moreno,David Arugete,Darío Moreno,Not Found
403,nm0001036,Geraldine Chaplin,Geraldine Leigh Chaplin,Patricio Castilla,/name/nm0144959?ref_=nmbio_sp_1
408,nm0013761,Javier Aguirresarobe, Not Found , Not Found ,Not Found
413,nm0005077,James Keach,James Peckham Keach,Jane Seymour,/name/nm0005412?ref_=nmbio_sp_1
414,nm0757814,José Salcedo,José Salcedo Palomeque,José Salcedo,/name/nm0005412?ref_=nmbio_sp_1
418,nm0088971,Alan C. Blomquist, Not Found ,Rebecca Carpenter,Not Found
423,nm0001598,Robert Patrick,Robert Hammond Patrick Jr.,Barbara Patrick,/name/nm0665813?ref_=nmbio_sp_1
429,nm0400291,Phyllis Huffman,Phyllis M. Grennan,David Huffman,/name/nm0400267?ref_=nmbio_sp_1
432,nm1395771,Lucas Till,Lucas Daniel Till,Lucas Till,/name/nm0400267?ref_=nmbio_sp_1
433,nm0003659,Phedon Papamichael,Phedon Papamichael Jr.,Eka Chichua,Not Found
452,nm0567331,Michael McCusker, Not Found , Not Found ,Not Found
457,nm0671567,Michael Peña, Not Found ,Brie Shaffer,/name/nm0787294?ref_=nmbio_sp_1
460,nm0353673,Paul Haggis,Paul Edward Haggis,Deborah Rennard,/name/nm0719612?ref_=nmbio_sp_1
461,nm0748665,Albert S. Ruddy, Not Found ,Wanda McDaniel,/name/nm1098578?ref_=nmbio_sp_1
473,nm0827869,Tom Stern,Thomas Evans Stern,Françoise Combadière,/name/nm0173565?ref_=nmbio_sp_1
474,nm0394398,Deborah Hopper, Not Found , Not Found ,Not Found
488,nm0005909,Brian Tufano,Brian Richard Tufano,Pamela J. Copeland,Not Found
489,nm0419605,Jina Jay, Not Found , Not Found ,Not Found
490,nm0005086,Kathleen Kennedy, Not Found ,Frank Marshall,/name/nm0550881?ref_=nmbio_sp_1
491,nm0933213,Colin Wilson, Not Found , Not Found ,Not Found
492,nm0002354,John Williams,John Towner Williams,Samantha Winslow,Not Found
493,nm0001405,Janusz Kaminski,Janusz Zygmunt Kaminski,Rebecca Rankin,/name/nm0710287?ref_=nmbio_sp_1
494,nm0434883,Michael Kahn, Not Found , Not Found ,Not Found
495,nm0853247,Terri Taylor, Not Found , Not Found ,Not Found
496,nm0952918,Debra Zane, Not Found , Not Found ,Not Found
498,nm0141437,Rick Carter, Not Found , Not Found ,Not Found
500,nm0426693,Joanna Johnston, Not Found , Not Found ,Not Found
501,nm0000129,Tom Cruise,Thomas Cruise Mapother IV,Katie Holmes,/name/nm0005017?ref_=nmbio_sp_1
502,nm0266824,Dakota Fanning,Hannah Dakota Fanning,Dakota Fanning,/name/nm0005017?ref_=nmbio_sp_1
504,nm0001584,Miranda Otto, Not Found ,Peter O'Brien,/name/nm0639774?ref_=nmbio_sp_1
508,nm0000209,Tim Robbins,Timothy Francis Robbins,Tim Robbins,/name/nm0639774?ref_=nmbio_sp_1
510,nm0462895,David Koepp, Not Found ,Melissa Thomas,Not Found
511,nm0000318,Tim Burton,Timothy Walter Burton,Lena Gieseke,/name/nm3128912?ref_=nmbio_sp_1
514,nm0290581,Larry Franco,Larry Joseph Franco,Cindy Leung,Not Found
515,nm0000197,Jack Nicholson,John Joseph Nicholson,Sandra Knight,/name/nm0461070?ref_=nmbio_sp_1
516,nm0000335,Glenn Close,Glenda Veronica Close,David Shaw,Not Found
517,nm0000906,Annette Bening,Annette Francine Bening,Warren Beatty,/name/nm0000886?ref_=nmbio_sp_1
518,nm0000112,Pierce Brosnan,Pierce Brendan Brosnan,Keely Shaye Brosnan,/name/nm0005444?ref_=nmbio_sp_1
522,nm0000362,Danny DeVito,Daniel Michael DeVito Jr.,Rhea Perlman,/name/nm0674231?ref_=nmbio_sp_1
524,nm0001768,Rod Steiger,Rodney Stephan Steiger,Joan Benedict Steiger,/name/nm0070785?ref_=nmbio_sp_1
525,nm0000204,Natalie Portman,Natalie Hershlag,Benjamin Millepied,/name/nm1018521?ref_=nmbio_sp_1
527,nm0634240,Christopher Nolan,Christopher Edward Nolan,Emma Thomas,/name/nm0858799?ref_=nmbio_sp_1
528,nm0634300,Jonathan Nolan, Not Found ,Lisa Joy,/name/nm2847370?ref_=nmbio_sp_1
529,nm0796662,Sylvia Sidney,Sophia Kosow,Carlton Alsop,Not Found
530,nm0001602,Guy Pearce,Guy Edward Pearce,Kate Mestitz,/name/nm1098673?ref_=nmbio_sp_1
531,nm0005251,Carrie-Anne Moss, Not Found ,Steven Roy,/name/nm1027493?ref_=nmbio_sp_1
532,nm0000384,Danny Elfman,Daniel Robert Elfman,Bridget Fonda,/name/nm0000403?ref_=nmbio_sp_1
534,nm0001592,Joe Pantoliano,Joseph Peter Pantoliano,Nancy Sheppard,/name/nm0791971?ref_=nmbio_sp_1
535,nm0095478,Mark Boone Junior,Mark Heidrich,Mark Boone Junior,/name/nm0791971?ref_=nmbio_sp_1
536,nm0270383,Russ Fega, Not Found , Not Found ,Not Found
537,nm0289080,Jorja Fox,Jorja-An Fox,Jorja Fox,Not Found
538,nm0864997,Stephen Tobolowsky,Stephen Harold Tobolowsky,Ann Hearn,/name/nm0372475?ref_=nmbio_sp_1
539,nm0364748,Harriet Sansom Harris,Harriet Harris,Harriet Sansom Harris,/name/nm0372475?ref_=nmbio_sp_1
540,nm0502073,Thomas Lennon,Thomas Patrick Lennon,Jenny Robertson,/name/nm0731898?ref_=nmbio_sp_1
541,nm0719678,Callum Keith Rennie, Not Found , Not Found ,Not Found
542,nm0495605,Chris Lebenzon,Christopher John Lebenzon,Chris Lebenzon,Not Found
543,nm0132649,Kimberly Campbell, Not Found , Not Found ,Not Found
544,nm0611127,Marianne Muellerleile, Not Found ,Tom Norris,/name/nm1634636?ref_=nmbio_sp_1
545,nm0390227,Larry Holden,Laurence Henry Holden,Hanne Kristiansen,/name/nm2744840?ref_=nmbio_sp_1
546,nm0058089,Matthew Barry, Not Found , Not Found ,Not Found
547,nm0565157,Jeanne McCarthy,Jeanine McCarthy,Jeanne McCarthy,Not Found
548,nm0859625,Victoria Thomas, Not Found , Not Found ,Not Found
550,nm0859661,Wynn Thomas, Not Found , Not Found ,Not Found
551,nm0865189,Jennifer Todd, Not Found ,Chris Messina,/name/nm0582149?ref_=nmbio_sp_1
552,nm0865297,Suzanne Todd, Not Found , Not Found ,Not Found
553,nm0246013,Elaine Dysinger, Not Found , Not Found ,Not Found
554,nm0223308,John Dexter, Not Found , Not Found ,Not Found
555,nm0753083,Aaron Ryder, Not Found , Not Found ,Not Found
556,nm0354101,Nancy Haigh, Not Found , Not Found ,Not Found
557,nm0858799,Emma Thomas, Not Found ,Christopher Nolan,/name/nm0634240?ref_=nmbio_sp_1
558,nm0041181,Colleen Atwood, Not Found , Not Found ,Not Found
560,nm0002892,Wally Pfister,Walter Pfister,Anna Julien,Not Found
561,nm0004162,Patti Podesta, Not Found , Not Found ,Not Found
562,nm0660667,John Papsidera, Not Found , Not Found ,Not Found
563,nm0233827,Dody Dorn,Dody Jane Dorn,Kevin Hughes,/name/nm0400736?ref_=nmbio_sp_1
568,nm0000500,Richard Linklater,Richard Stuart Linklater,Christina Harrison,Not Found
569,nm0471811,Kim Krizan,Kim Arnette Krizan,Mosher, Chip
576,nm0000160,Ethan Hawke,Ethan Green Hawke,Ryan Hawke,/name/nm3150198?ref_=nmbio_sp_1
578,nm0199679,Lee Daniel,Lee Cavender Daniel,Lee Daniel,/name/nm3150198?ref_=nmbio_sp_1
580,nm0000631,Ridley Scott, Not Found ,Giannina Facio,/name/nm0264857?ref_=nmbio_sp_1
581,nm0010471,Sandra Adair,Sandra B. Estrin,Dwight Adair,/name/nm0010431?ref_=nmbio_sp_1
582,nm0214303,Michael Deeley, Not Found , Not Found ,Not Found
583,nm0303215,Sheri Galloway, Not Found , Not Found ,Not Found
584,nm0266684,Hampton Fancher,Hampton Lansden Fancher III,Sue Lyon,/name/nm0528987?ref_=nmbio_sp_1
585,nm0001140,Philip K. Dick,Philip Kindred Dick,Tessa Busby,Not Found
586,nm0000442,Rutger Hauer,Rutger Oelsen Hauer,Ineke ten Kate,Not Found
587,nm0000707,Sean Young,Mary Sean Young,Robert Lujan,/name/nm0525439?ref_=nmbio_sp_1
589,nm0001579,Edward James Olmos, Not Found ,Lymari Nadal,/name/nm1317082?ref_=nmbio_sp_1
590,nm0000435,Daryl Hannah,Daryl Christine Hannah,Neil Young,/name/nm0949918?ref_=nmbio_sp_1
591,nm0761836,William Sanderson, Not Found ,Sharon Wix,Not Found
592,nm0001397,Brion James,Brion Howard James,Maxine James,/name/nm0416754?ref_=nmbio_sp_1
593,nm0877185,Joe Turkel, Not Found , Not Found ,Not Found
594,nm0001026,Joanna Cassidy,Joanna Virginia Caskey,Dr. Kennard C. Kobrin,Not Found
595,nm0005675,Jordan Cronenweth,Jordan Scott Cronenweth,Jordan Cronenweth,Not Found
596,nm0006331,Vangelis,Evangelos Odysseus Papathanassiou,Vangelis,Not Found
597,nm0667223,Lawrence G. Paull, Not Found , Not Found ,Not Found
598,nm0270670,Jane Feinberg, Not Found , Not Found ,Not Found
599,nm0272067,Mike Fenton,Ronald Michael Fenton,Janet Monfort,Not Found
600,nm0513924,Marci Liroff, Not Found , Not Found ,Not Found
601,nm0620359,Marsha Nakashima, Not Found , Not Found ,Not Found
602,nm0811435,David L. Snyder, Not Found ,Terry Finn,/name/nm0278176?ref_=nmbio_sp_1
603,nm0220984,Linda DeScenna, Not Found ,Mark Robinson,/name/nm1070845?ref_=nmbio_sp_1
605,nm0565352,Leslie McCarthy-Frankenheimer,Leslie McCarthy,John T. Frankenheimer,/name/nm2939501?ref_=nmbio_sp_1
606,nm0438325,Michael Kaplan, Not Found , Not Found ,Not Found
608,nm0461262,Charles Knode, Not Found , Not Found ,Not Found
613,nm0594503,Hayao Miyazaki, Not Found ,Akemi Ôta,/name/nm1088112?ref_=nmbio_sp_1
614,nm0793585,Sumi Shimamoto, Not Found ,Daisuke Koshikawa,/name/nm4286754?ref_=nmbio_sp_1
615,nm0875332,Mahito Tsujimura, Not Found , Not Found ,Not Found
616,nm0477449,Hisako Kyôda, Not Found , Not Found ,Not Found
617,nm0623214,Gorô Naya, Not Found ,Kachiko Hino,/name/nm1363635?ref_=nmbio_sp_1
618,nm0619077,Ichirô Nagai, Not Found ,Ayako,Not Found
619,nm0594488,Kôhei Miyauchi,Takayuki Miyauchi,Kôhei Miyauchi,Not Found
620,nm0945881,Jôji Yanami,Shigemitsu Shirato,Jôji Yanami,Not Found
621,nm0944823,Minoru Yada, Not Found , Not Found ,Not Found
622,nm0948917,Rihoko Yoshida, Not Found , Not Found ,Not Found
623,nm0559444,Yôji Matsuda, Not Found ,?,Not Found
624,nm0866697,Mîna Tominaga,Yoshiko Tominaga,Shôichirô Masumoto,/name/nm1200517?ref_=nmbio_sp_1
625,nm0757058,Yoshiko Sakakibara, Not Found , Not Found ,Not Found
626,nm0443509,Iemasa Kayumi, Not Found , Not Found ,Not Found
